aberration,noun: a deviation from what is normal or expected,Aberrations in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines.
access,"noun: the ability to go into (when somebody or something must allow you to enter) verb: to go into something when allowed to enter","Only students have access to the university library. There is a large amount of oil under the ice, but we have not be able to access it."
acrimony,noun: bitterness and ill will,The acrimonious dispute between the president and vice-president sent a clear signal to voters: the health of the current administration was imperiled.
adequate,adjective: good enough for what you need,A very light jacket will be adequate for Los Angeles's warm winter.
admonitory,adjective: serving to warn; expressing reproof or reproach especially as a corrective,"At the assembly, the high school vice-principal gave the students an admonitory speech, warning them of the many risks and dangers of prom night."
aesthete,noun: one who professes great sensitivity to the beauty of art and nature,"A true aesthete, Marty would spend hours at the Guggenheim Museum, staring at the same Picasso."
aesthetic,"adjective: concerned with the appreciation of beautynoun: a set of principles underlying and guiding the work of a particular artist or artistic movement.","The director, not known for his aesthetic sensibilities, decided not to use costumes at all, and put on the play in everyday clothing.The artist operated according to a peculiar aesthetic, not considering any photograph to be worth publishing unless it contained a marine mammal."
afford,verb: provide with an opportunity,The summit of Mt. Kilimanjaro affords a panoramic view that encompasses both Tanzania and Kenya.
amalgam,noun: a mixture of multiple things,"The band’s music was an amalgam of hip-hop, flamenco and jazz, blending the three styles with surprising results."
amok,adverb: in a frenzied or uncontrolled state,"Wherever the bowl haircut teen-idol went, his legions of screaming fans ran through the streets amok, hoping for a glance at his boyish face."
amply,adverb: more than is adequate,The boat was amply supplied for its year at sea—no man would go hungry or thirst.
anachronism,noun: something that is inappropriate for the given time period (usually something old).,"Dressed in 15th century clothing each day, Edward was a walking anachronism."
animosity,noun: intense hostility,The governor’s animosity toward his rival was only inflamed when the latter spread false lies regarding the governor’s first term.
anodyne,"noun: something that soothes or relieves painadjective: inoffensive","Muzak, which is played in department stores, is intended to be an anodyne, but is often so cheesy and over-the-top that customers become irritated.Wilbur enjoyed a spicy Mexican breakfast, but Jill preferred a far more anodyne meal in the mornings."
anomaly,"noun: something that is not normal, standard, or expected","After finding an anomaly in the data, she knew that she would have to conduct her experiment again."
apathetic,adjective: marked by a lack of interest,Mr. Thompson was so talented at teaching math that even normally apathetic students took interest.
apex,noun: the highest point,The Ivy League is considered the apex of the secondary education system.
aphoristic,adjective: something that is concise and instructive of a general truth or principle,"Sometimes I can't stand Nathan because he tries to impress everyone by being aphoristic, but he just states the obvious."
aplomb,noun: great coolness and composure under strain,Nancy acted with aplomb during dangerous situations--she once calmly climbed up an oak tree to save a cat.
apogee,noun: the highest point,"The apogee of the Viennese style of music, Mozart’s music continues to mesmerize audiences well into the 21st century."
apostate,noun: a person who has abandoned a religious faith or cause,"An apostate of the Republican Party, Sheldon has yet to become affiliated with any party and dubs himself an independent."
apothegm,"noun: a short, pithy instructive saying","Winston Churchill is famous for many apothegms, but this might be his most famous: ""It has been said that democracy is the worst form of government except all the others that have been tried."""
apotheosis,noun: exaltation to divine status; the highest point of development,"As difficult as it is to imagine, the apotheosis of Mark Zuckerberg’s career, many believe, is yet to come."
appease,verb: pacify by acceding to the demands of,"Neville Chamberlain, the British prime minister during WWII, tried to appease Hitler and in doing so sent a clear message: you can walk all over us."
approbatory,adjective: expressing praise or approval,"Although it might not be her best work, Hunter's new novel has received generally approbatory reviews."
appurtenant,adjective: supply added support,"n hiking Mt. Everest, sherpas are appurtenant, helping climbers both carry gear and navigate treacherous paths."
arch,adjective: to be deliberately teasing,"The baroness was arch, making playful asides to the townspeople; yet because they couldn't pick up on her dry humor, they thought her supercilious."
arrant,adjective: complete and wholly (usually modifying a noun with negative connotation),"An arrant fool, Lawrence surprised nobody when he lost all his money in a pyramid scheme that was every bit as transparent as it was corrupt."
arriviste,noun: a person who has recently reached a position of power; a social climber,The city center was aflutter with arrivistes who each tried to outdo one another with their ostentatious sports cars and chic evening dress.
arrogate,verb: seize and control without authority,"Arriving at the small town, the outlaw arrogated the privileges of a lord, asking the frightened citizens to provide food, drink, and entertainment."
artful,"adjective: exhibiting artistic skill;adjective: clever in a cunning way","Picasso is generally considered the most artful member of the Cubist movement.;Bernie Madoff's artful Ponzi scheme stole billions of dollars from investors and is considered the largest financial fraud in U.S. history."
artifice,noun: cunning tricks used to deceive others,The mayoral candidates both spent much of the campaign accusing each other of artifices designed to mislead the voting public.
artless,adjective: without cunning or deceit,"Despite the president's seemingly artless speeches, he was a skilled and ruthless negotiator."
artlessness,noun: the quality of innocence,"I, personally, found the artlessness of her speech charming."
ascendancy,noun: the state that exists when one person or group has power over another,The ascendancy of the Carlsbad water polo team is clear—they have a decade of championships behind them.
ascribe,verb: attribute or credit to,"History ascribes The Odyssey and The Iliad to Homer, but scholars now debate whether he was a historical figure or a fictitious name."
askance,adverb: with a look of suspicion or disapproval,"The old couple looked askance on the teenagers seated next to them, whispering to each other, ""They've got rings through their noses and purple hair!"""
assiduously,adverb: with care and persistence,"The top college football program recruits new talent assiduously, only choosing those who were the top in their county."
atavism,noun: a reappearance of an earlier characteristic; throwback,Much of the modern art movement was an atavism to a style of art found only in small villages through Africa and South America.
audacity,noun: aggressive boldness in social situations,She surprised her colleagues by having the audacity to publically criticize the findings of an distinguished scientist.
augment,verb: enlarge or increase; improve,"Ideally, the restaurant's augmented menu will expand its clientele and increase its profits."
autocratic,"adjective: characteristic of an absolute ruler or absolute rule; having absolute sovereigntyadjective: offensively self-assured or given to exercising usually unwarranted power","The last true autocratic country is certainly North Korea; nowhere does a leader exercise the absolute control over all aspects of a people the way that Kim Jong-un does.The manager was finally fired for his autocratic leadership, which often bordered on rude and offensive."
autonomously,adverb: In an autonomous or self-governing manner.,Many of the factory workers are worried about being replaced by machines and computers that will work completely autonomously.
avaricious,adjective: excessively greedy,Since avaricious desire is similar to gluttony or lust--sins of excess--it was listed as one of the seven deadly sins by the Catholic church.
